input_id,category,text,seed,base_label,base_confidence,base_positive_score,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,lime_score,duration_ms
6,lexical_shortcuts,The movie was terrible but I loved every minute of it.,123,positive,0.999629,0.999629,loved,terrible,I,it,movie,but,every,minute,was,The,0.761913,-0.220967,-0.043497,0.036511,-0.033285,0.031867,-0.02915,0.019814,-0.014138,-0.006303,0.770852,15402
6,lexical_shortcuts,The movie was terrible but I loved every minute of it.,456,positive,0.999629,0.999629,loved,terrible,was,I,movie,every,of,it,but,The,0.740635,-0.187444,-0.072975,-0.071261,-0.064001,0.060089,-0.035339,0.027003,-0.011601,-0.007787,0.748505,15027
6,lexical_shortcuts,The movie was terrible but I loved every minute of it.,789,positive,0.999629,0.999629,loved,terrible,but,was,movie,it,I,The,every,of,0.714073,-0.187196,0.109169,-0.093569,-0.085625,0.045293,-0.028645,-0.017385,0.01589,-0.014715,0.69023,11511
6,lexical_shortcuts,The movie was terrible but I loved every minute of it.,1024,positive,0.999629,0.999629,loved,terrible,it,The,was,but,movie,every,of,minute,0.753028,-0.169187,0.095127,-0.082614,-0.082516,0.047537,-0.042567,-0.033588,-0.02603,0.022411,0.781148,11049
7,lexical_shortcuts,"Excellent packaging, but the product itself is useless.",42,negative,0.999017,0.000983,useless,Excellent,but,packaging,itself,product,is,the,,,-0.849516,0.123876,-0.045546,-0.040766,-0.021371,0.021312,0.006837,0.003311,0.0,0.0,0.901813,10582
7,lexical_shortcuts,"Excellent packaging, but the product itself is useless.",123,negative,0.999017,0.000983,useless,Excellent,product,packaging,but,itself,is,the,,,-0.841906,0.108966,0.055069,-0.033879,-0.029536,0.009358,-0.003888,0.001368,0.0,0.0,0.887884,10155
7,lexical_shortcuts,"Excellent packaging, but the product itself is useless.",456,negative,0.999017,0.000983,useless,Excellent,but,packaging,is,the,itself,product,,,-0.835052,0.131282,-0.064307,-0.058728,-0.026924,0.017089,0.014446,0.012629,0.0,0.0,0.889301,9376
7,lexical_shortcuts,"Excellent packaging, but the product itself is useless.",789,negative,0.999017,0.000983,useless,Excellent,packaging,but,product,is,itself,the,,,-0.863687,0.117946,-0.049522,-0.042179,0.037798,0.008579,0.007803,-0.003916,0.0,0.0,0.900952,9664
7,lexical_shortcuts,"Excellent packaging, but the product itself is useless.",1024,negative,0.999017,0.000983,useless,Excellent,product,packaging,but,the,itself,is,,,-0.85163,0.105684,0.049498,-0.044903,-0.016752,-0.006606,-0.004553,0.000509,0.0,0.0,0.89641,9402
8,lexical_shortcuts,I love how badly this was designed.,42,negative,0.995578,0.004422,badly,I,love,this,how,was,designed,,,,-0.65506,-0.266381,0.260054,-0.0719,0.061993,-0.053943,0.009281,0.0,0.0,0.0,0.726859,9288
8,lexical_shortcuts,I love how badly this was designed.,123,negative,0.995578,0.004422,badly,love,I,was,how,designed,this,,,,-0.695492,0.272788,-0.206226,-0.105665,0.079919,0.035604,0.016045,0.0,0.0,0.0,0.697981,9480
8,lexical_shortcuts,I love how badly this was designed.,456,negative,0.995578,0.004422,badly,love,I,how,this,was,designed,,,,-0.660063,0.286498,-0.241623,0.118482,-0.116407,-0.079639,-0.029925,0.0,0.0,0.0,0.692458,9252
8,lexical_shortcuts,I love how badly this was designed.,789,negative,0.995578,0.004422,badly,love,I,was,how,designed,this,,,,-0.723213,0.268175,-0.257292,-0.081078,0.078665,-0.048192,0.01232,0.0,0.0,0.0,0.752737,9311
8,lexical_shortcuts,I love how badly this was designed.,1024,negative,0.995578,0.004422,badly,I,love,how,was,this,designed,,,,-0.703295,-0.286057,0.240344,0.072605,-0.069002,-0.041067,0.000112,0.0,0.0,0.0,0.733516,9350
9,lexical_shortcuts,Fine.,42,positive,0.999827,0.999827,Fine,,,,,,,,,,0.002753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160108,9093
9,lexical_shortcuts,Fine.,123,positive,0.999827,0.999827,Fine,,,,,,,,,,0.002753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160108,8878
9,lexical_shortcuts,Fine.,456,positive,0.999827,0.999827,Fine,,,,,,,,,,0.002753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160108,8801
9,lexical_shortcuts,Fine.,789,positive,0.999827,0.999827,Fine,,,,,,,,,,0.002753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160108,9176
9,lexical_shortcuts,Fine.,1024,positive,0.999827,0.999827,Fine,,,,,,,,,,0.002753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160108,9369
10,lexical_shortcuts,Absolutely phenomenal waste of my time.,42,negative,0.999772,0.000228,waste,Absolutely,my,phenomenal,time,of,,,,,-0.961034,0.006555,0.004271,0.003707,0.001576,0.00125,0.0,0.0,0.0,0.0,0.997537,9247
10,lexical_shortcuts,Absolutely phenomenal waste of my time.,123,negative,0.999772,0.000228,waste,phenomenal,Absolutely,my,of,time,,,,,-0.956399,0.012357,0.008213,0.007876,-0.002279,-4.2e-05,0.0,0.0,0.0,0.0,0.995758,9356
10,lexical_shortcuts,Absolutely phenomenal waste of my time.,456,negative,0.999772,0.000228,waste,phenomenal,my,Absolutely,of,time,,,,,-0.958674,0.006018,0.004928,0.004168,0.002149,0.000526,0.0,0.0,0.0,0.0,0.997853,9113
10,lexical_shortcuts,Absolutely phenomenal waste of my time.,789,negative,0.999772,0.000228,waste,Absolutely,phenomenal,my,time,of,,,,,-0.955564,0.01546,0.013263,0.010665,-0.005869,0.003762,0.0,0.0,0.0,0.0,0.996041,9978
10,lexical_shortcuts,Absolutely phenomenal waste of my time.,1024,negative,0.999772,0.000228,waste,my,phenomenal,time,Absolutely,of,,,,,-0.955508,0.012403,0.009484,-0.004396,0.003001,-0.001391,0.0,0.0,0.0,0.0,0.996272,9273
11,ambiguity,"It was okay, I guess.",42,positive,0.999728,0.999728,okay,It,guess,was,I,,,,,,0.343482,0.211744,-0.165032,0.100704,0.096474,0.0,0.0,0.0,0.0,0.0,0.56557,9476
11,ambiguity,"It was okay, I guess.",123,positive,0.999728,0.999728,okay,I,guess,It,was,,,,,,0.445752,0.166177,-0.1587,0.137447,-0.004941,0.0,0.0,0.0,0.0,0.0,0.558898,9509
11,ambiguity,"It was okay, I guess.",456,positive,0.999728,0.999728,okay,It,guess,I,was,,,,,,0.370063,0.176824,-0.149729,0.142429,0.053677,0.0,0.0,0.0,0.0,0.0,0.518468,12062
11,ambiguity,"It was okay, I guess.",789,positive,0.999728,0.999728,okay,It,guess,I,was,,,,,,0.40346,0.195836,-0.136977,0.126837,0.072105,0.0,0.0,0.0,0.0,0.0,0.579335,9669
11,ambiguity,"It was okay, I guess.",1024,positive,0.999728,0.999728,okay,I,It,guess,was,,,,,,0.382852,0.219143,0.170696,-0.139253,0.056657,0.0,0.0,0.0,0.0,0.0,0.550791,9291
12,ambiguity,That is one way to do it.,42,positive,0.924599,0.924599,way,to,one,is,it,That,do,,,,-0.117033,0.112378,-0.098738,-0.080697,-0.076843,-0.019942,-0.012785,0.0,0.0,0.0,0.347038,11040
12,ambiguity,That is one way to do it.,123,positive,0.924599,0.924599,one,way,it,to,do,That,is,,,,-0.087646,-0.067232,-0.063363,0.043517,-0.030009,0.026954,-0.026142,0.0,0.0,0.0,0.166567,9946
12,ambiguity,That is one way to do it.,456,positive,0.924599,0.924599,way,one,is,to,it,do,That,,,,-0.076799,-0.067574,-0.050863,0.038709,-0.027115,0.025117,-0.007984,0.0,0.0,0.0,0.187575,9858
12,ambiguity,That is one way to do it.,789,positive,0.924599,0.924599,way,one,to,is,it,do,That,,,,-0.104517,-0.090294,0.063281,-0.050495,-0.026838,0.014068,-0.012367,0.0,0.0,0.0,0.207996,9493
12,ambiguity,That is one way to do it.,1024,positive,0.924599,0.924599,to,one,is,way,it,That,do,,,,0.114998,-0.113608,-0.098298,-0.095037,-0.049209,-0.032556,-0.008264,0.0,0.0,0.0,0.354579,9329
13,ambiguity,I have seen worse.,42,negative,0.99956,0.00044,worse,seen,have,I,,,,,,,-0.952881,0.01417,0.012509,0.007578,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,9131
13,ambiguity,I have seen worse.,123,negative,0.99956,0.00044,worse,I,seen,have,,,,,,,-0.952583,0.015665,0.011643,0.010724,0.0,0.0,0.0,0.0,0.0,0.0,0.998417,9077
13,ambiguity,I have seen worse.,456,negative,0.99956,0.00044,worse,seen,have,I,,,,,,,-0.954918,0.013418,0.013042,0.012052,0.0,0.0,0.0,0.0,0.0,0.0,0.998566,9010
13,ambiguity,I have seen worse.,789,negative,0.99956,0.00044,worse,have,seen,I,,,,,,,-0.951366,0.01446,0.0095,0.008949,0.0,0.0,0.0,0.0,0.0,0.0,0.998195,9414
13,ambiguity,I have seen worse.,1024,negative,0.99956,0.00044,worse,have,seen,I,,,,,,,-0.95961,0.011884,0.011491,0.007295,0.0,0.0,0.0,0.0,0.0,0.0,0.998772,9339
14,ambiguity,The service was exactly what I expected.,42,positive,0.996916,0.996916,what,exactly,I,expected,service,was,The,,,,0.200719,0.159778,0.132093,-0.11745,0.052557,0.01353,0.002899,0.0,0.0,0.0,0.436384,9241
14,ambiguity,The service was exactly what I expected.,123,positive,0.996916,0.996916,I,what,expected,exactly,service,was,The,,,,0.236979,0.229025,-0.151825,0.143874,0.037604,-0.034903,-0.024377,0.0,0.0,0.0,0.465263,9681
14,ambiguity,The service was exactly what I expected.,456,positive,0.996916,0.996916,what,expected,exactly,I,service,was,The,,,,0.235752,-0.163171,0.138791,0.109055,0.091467,-0.030508,0.013646,0.0,0.0,0.0,0.417485,12221
14,ambiguity,The service was exactly what I expected.,789,positive,0.996916,0.996916,what,I,exactly,expected,service,was,The,,,,0.23351,0.17768,0.131132,-0.127978,0.082931,-0.034305,0.007639,0.0,0.0,0.0,0.428465,10033
14,ambiguity,The service was exactly what I expected.,1024,positive,0.996916,0.996916,what,I,exactly,expected,service,The,was,,,,0.201079,0.189698,0.1254,-0.101221,0.092244,0.005035,0.003822,0.0,0.0,0.0,0.43036,9133
15,ambiguity,It is what it is.,42,positive,0.999573,0.999573,it,is,It,what,,,,,,,0.178306,0.158726,0.072045,0.011666,0.0,0.0,0.0,0.0,0.0,0.0,0.336446,9354
15,ambiguity,It is what it is.,123,positive,0.999573,0.999573,it,is,It,what,,,,,,,0.237956,0.211424,0.111822,0.008398,0.0,0.0,0.0,0.0,0.0,0.0,0.458345,9304
15,ambiguity,It is what it is.,456,positive,0.999573,0.999573,it,is,It,what,,,,,,,0.220768,0.217098,0.103531,0.021102,0.0,0.0,0.0,0.0,0.0,0.0,0.427888,9106
15,ambiguity,It is what it is.,789,positive,0.999573,0.999573,it,is,It,what,,,,,,,0.161941,0.120282,0.073193,0.014676,0.0,0.0,0.0,0.0,0.0,0.0,0.296832,9227
15,ambiguity,It is what it is.,1024,positive,0.999573,0.999573,it,is,It,what,,,,,,,0.203668,0.19963,0.054903,0.011924,0.0,0.0,0.0,0.0,0.0,0.0,0.431841,9127
16,distribution_style_shift,ngl this slaps fr fr no cap,42,negative,0.999327,0.000673,slaps,no,ngl,cap,fr,this,,,,,-0.120861,-0.117274,-0.0686,-0.051467,-0.039581,0.009315,0.0,0.0,0.0,0.0,0.279827,9915
16,distribution_style_shift,ngl this slaps fr fr no cap,123,negative,0.999327,0.000673,slaps,no,cap,ngl,fr,this,,,,,-0.164558,-0.155484,-0.091514,-0.060157,-0.058319,-0.009946,0.0,0.0,0.0,0.0,0.364726,9360
16,distribution_style_shift,ngl this slaps fr fr no cap,456,negative,0.999327,0.000673,no,slaps,cap,ngl,fr,this,,,,,-0.172124,-0.164318,-0.105624,-0.087958,-0.06997,0.046789,0.0,0.0,0.0,0.0,0.375999,9207
16,distribution_style_shift,ngl this slaps fr fr no cap,789,negative,0.999327,0.000673,slaps,no,ngl,cap,fr,this,,,,,-0.128533,-0.121822,-0.062762,-0.044007,-0.041067,-0.018324,0.0,0.0,0.0,0.0,0.291899,9511
16,distribution_style_shift,ngl this slaps fr fr no cap,1024,negative,0.999327,0.000673,no,slaps,ngl,cap,fr,this,,,,,-0.147778,-0.118545,-0.074015,-0.068661,-0.0549,-0.002997,0.0,0.0,0.0,0.0,0.323726,9693
17,distribution_style_shift,The patient presents with acute exacerbation of chronic symptoms.,42,negative,0.98784,0.01216,chronic,exacerbation,symptoms,presents,patient,of,The,with,acute,,-0.167174,-0.149614,-0.146113,-0.030473,-0.027839,0.027196,-0.016101,0.007658,-0.007117,0.0,0.370792,8156
17,distribution_style_shift,The patient presents with acute exacerbation of chronic symptoms.,123,negative,0.98784,0.01216,chronic,symptoms,exacerbation,with,patient,acute,The,of,presents,,-0.133402,-0.116637,-0.111693,-0.024026,-0.023687,-0.015628,-0.014043,-0.009433,0.004538,0.0,0.324974,9661
17,distribution_style_shift,The patient presents with acute exacerbation of chronic symptoms.,456,negative,0.98784,0.01216,chronic,exacerbation,symptoms,The,with,of,patient,acute,presents,,-0.160895,-0.140932,-0.127691,-0.039076,-0.021256,0.018164,-0.010378,-0.005677,0.000876,0.0,0.362409,9383
17,distribution_style_shift,The patient presents with acute exacerbation of chronic symptoms.,789,negative,0.98784,0.01216,exacerbation,chronic,symptoms,The,acute,of,patient,with,presents,,-0.144701,-0.14125,-0.137283,-0.021261,0.011177,0.010412,0.009589,-0.005127,0.003283,0.0,0.362461,8342
17,distribution_style_shift,The patient presents with acute exacerbation of chronic symptoms.,1024,negative,0.98784,0.01216,chronic,exacerbation,symptoms,presents,with,The,of,acute,patient,,-0.135361,-0.119225,-0.117865,-0.029725,0.016059,-0.013155,-0.010037,-0.005214,-0.001437,0.0,0.313264,8299
18,distribution_style_shift,Revenue increased 12% YoY driven by strong Q4 performance.,42,positive,0.999106,0.999106,strong,increased,YoY,by,Revenue,performance,Q4,12,driven,,0.098849,0.077933,-0.037061,-0.035911,0.035762,0.033178,-0.011475,0.006102,-0.005086,0.0,0.261562,8405
18,distribution_style_shift,Revenue increased 12% YoY driven by strong Q4 performance.,123,positive,0.999106,0.999106,strong,increased,performance,driven,by,12,Q4,Revenue,YoY,,0.087139,0.07293,0.063352,-0.020802,-0.013768,-0.012734,-0.011154,0.007194,-0.004782,0.0,0.238248,8442
18,distribution_style_shift,Revenue increased 12% YoY driven by strong Q4 performance.,456,positive,0.999106,0.999106,strong,increased,performance,YoY,Revenue,12,by,Q4,driven,,0.079211,0.060713,0.051667,-0.033616,0.030502,0.022333,-0.02086,-0.006512,-0.002116,0.0,0.224853,8380
18,distribution_style_shift,Revenue increased 12% YoY driven by strong Q4 performance.,789,positive,0.999106,0.999106,strong,increased,performance,YoY,12,by,driven,Revenue,Q4,,0.081215,0.063161,0.028832,-0.026589,0.016329,-0.014139,0.006947,-0.005589,-0.003136,0.0,0.205297,8350
18,distribution_style_shift,Revenue increased 12% YoY driven by strong Q4 performance.,1024,positive,0.999106,0.999106,strong,increased,performance,by,YoY,Q4,driven,Revenue,12,,0.107936,0.070959,0.050663,-0.021584,-0.019646,-0.017958,-0.016783,-0.011207,0.005958,0.0,0.276297,8541
19,distribution_style_shift,lmaooo this is so bad its good,42,negative,0.999563,0.000437,bad,its,good,lmaooo,this,so,is,,,,-0.566163,-0.413095,0.385011,-0.076747,0.059894,0.051143,0.032525,0.0,0.0,0.0,0.71688,8203
19,distribution_style_shift,lmaooo this is so bad its good,123,negative,0.999563,0.000437,bad,its,good,lmaooo,so,this,is,,,,-0.569397,-0.418006,0.343393,-0.111008,-0.034697,0.034614,0.016501,0.0,0.0,0.0,0.694566,8020
19,distribution_style_shift,lmaooo this is so bad its good,456,negative,0.999563,0.000437,bad,good,its,lmaooo,is,so,this,,,,-0.551843,0.429037,-0.353298,-0.129643,0.025291,0.022579,-0.006252,0.0,0.0,0.0,0.644599,8052
19,distribution_style_shift,lmaooo this is so bad its good,789,negative,0.999563,0.000437,bad,its,good,lmaooo,this,is,so,,,,-0.59585,-0.471661,0.420187,-0.082396,0.040788,0.008601,-0.007015,0.0,0.0,0.0,0.687079,8139
19,distribution_style_shift,lmaooo this is so bad its good,1024,negative,0.999563,0.000437,bad,its,good,so,this,lmaooo,is,,,,-0.567495,-0.488287,0.346766,0.113062,0.072506,-0.034785,0.010684,0.0,0.0,0.0,0.734386,8083
20,distribution_style_shift,"Per the attached memo, please advise on next steps.",42,negative,0.822116,0.177884,please,memo,next,attached,advise,steps,on,Per,the,,0.377587,-0.361957,-0.232496,-0.21408,-0.084416,-0.06877,0.05448,-0.029528,-0.027109,0.0,0.736681,8189
20,distribution_style_shift,"Per the attached memo, please advise on next steps.",123,negative,0.822116,0.177884,memo,please,next,attached,advise,on,steps,the,Per,,-0.396838,0.344041,-0.237828,-0.206045,-0.096166,0.064584,-0.021304,-0.011873,0.006506,0.0,0.750993,8246
20,distribution_style_shift,"Per the attached memo, please advise on next steps.",456,negative,0.822116,0.177884,memo,please,next,attached,advise,steps,the,Per,on,,-0.35401,0.346785,-0.2521,-0.200681,-0.04762,-0.047038,-0.046023,-0.023122,-0.00293,0.0,0.740751,8227
20,distribution_style_shift,"Per the attached memo, please advise on next steps.",789,negative,0.822116,0.177884,please,memo,next,attached,steps,advise,the,Per,on,,0.383235,-0.352852,-0.211966,-0.156665,-0.10918,-0.096113,-0.061067,0.026905,0.005502,0.0,0.769617,8167
20,distribution_style_shift,"Per the attached memo, please advise on next steps.",1024,negative,0.822116,0.177884,please,memo,next,attached,steps,advise,the,on,Per,,0.38751,-0.326351,-0.206337,-0.178103,-0.062369,-0.057281,-0.053649,0.033914,-0.010218,0.0,0.763366,8179
21,strong_baselines,This is the best product I have ever purchased.,42,positive,0.999857,0.999857,best,the,ever,have,I,is,product,This,purchased,,0.008087,0.006687,0.006639,0.006542,0.006006,-0.004879,-0.004142,-0.003382,-0.003346,0.0,0.061189,8117
21,strong_baselines,This is the best product I have ever purchased.,123,positive,0.999857,0.999857,ever,I,product,the,purchased,is,have,best,This,,0.008327,0.007678,0.006355,0.006274,-0.00468,-0.004349,-0.00126,-0.000655,-0.000559,0.0,0.074391,8309
21,strong_baselines,This is the best product I have ever purchased.,456,positive,0.999857,0.999857,ever,best,I,the,is,product,purchased,have,This,,0.003089,0.002667,0.001783,0.001115,-0.000891,0.00045,0.000399,-0.000271,-1e-05,0.0,0.154407,8012
21,strong_baselines,This is the best product I have ever purchased.,789,positive,0.999857,0.999857,best,ever,I,the,This,have,is,purchased,product,,0.002459,0.002324,0.00134,0.001043,0.000942,0.00072,-0.000576,0.000436,-0.000383,0.0,0.175475,8106
21,strong_baselines,This is the best product I have ever purchased.,1024,positive,0.999857,0.999857,ever,best,have,product,This,the,purchased,I,is,,0.001623,0.001587,0.000851,0.000571,0.000508,0.000468,0.000151,3.1e-05,-1.3e-05,0.0,0.185221,8864
22,strong_baselines,"Terrible experience, complete waste of money.",42,negative,0.999815,0.000185,Terrible,waste,experience,of,money,complete,,,,,-0.31752,-0.291864,0.06666,-0.057791,-0.032002,0.018298,0.0,0.0,0.0,0.0,0.512316,8032
22,strong_baselines,"Terrible experience, complete waste of money.",123,negative,0.999815,0.000185,Terrible,waste,complete,experience,money,of,,,,,-0.313845,-0.292796,0.052027,0.046041,-0.027637,-0.002634,0.0,0.0,0.0,0.0,0.48385,7921
22,strong_baselines,"Terrible experience, complete waste of money.",456,negative,0.999815,0.000185,Terrible,waste,complete,experience,of,money,,,,,-0.2392,-0.228229,-0.077564,0.05452,-0.051881,0.007671,0.0,0.0,0.0,0.0,0.431158,8005
22,strong_baselines,"Terrible experience, complete waste of money.",789,negative,0.999815,0.000185,Terrible,waste,of,complete,money,experience,,,,,-0.302472,-0.271538,-0.043191,-0.040713,-0.037294,-0.010372,0.0,0.0,0.0,0.0,0.449469,9329
22,strong_baselines,"Terrible experience, complete waste of money.",1024,negative,0.999815,0.000185,Terrible,waste,money,of,experience,complete,,,,,-0.242838,-0.21827,-0.079114,-0.028866,0.023741,-0.019951,0.0,0.0,0.0,0.0,0.404658,8402
23,strong_baselines,I absolutely love everything about this.,42,positive,0.999884,0.999884,love,absolutely,everything,about,I,this,,,,,0.00506,0.004686,0.004229,0.00172,-0.001439,0.000283,0.0,0.0,0.0,0.0,0.214621,9000
23,strong_baselines,I absolutely love everything about this.,123,positive,0.999884,0.999884,absolutely,love,everything,I,about,this,,,,,0.004502,0.003833,0.00284,-0.001225,0.000833,0.000337,0.0,0.0,0.0,0.0,0.177921,8146
23,strong_baselines,I absolutely love everything about this.,456,positive,0.999884,0.999884,absolutely,love,everything,about,I,this,,,,,0.002945,0.002856,0.002207,0.000358,-0.000357,0.000111,0.0,0.0,0.0,0.0,0.155564,8069
23,strong_baselines,I absolutely love everything about this.,789,positive,0.999884,0.999884,absolutely,love,everything,about,I,this,,,,,0.002844,0.002558,0.001899,0.000825,0.000372,-0.000229,0.0,0.0,0.0,0.0,0.135585,7778
23,strong_baselines,I absolutely love everything about this.,1024,positive,0.999884,0.999884,love,absolutely,everything,about,I,this,,,,,0.003784,0.002921,0.002556,0.001377,-0.000734,0.000168,0.0,0.0,0.0,0.0,0.160667,7820
24,strong_baselines,This is awful and I regret buying it.,42,negative,0.999652,0.000348,awful,regret,I,it,is,buying,This,and,,,-0.404163,-0.349292,-0.058925,0.049162,0.047631,-0.042624,0.031551,0.002058,0.0,0.0,0.61873,8119
